Minisector,RIC,MAG,Fastest
0,280.20362291937414,276.9647105679467,RIC
1,305.6278136843908,299.71927909028165,RIC
2,291.2663535256827,292.4971560804233,MAG
3,174.2699952492998,175.03218343201712,MAG
4,117.84723341620666,110.28273448757699,RIC
5,235.03291968426322,233.70195665533205,RIC
6,287.9244804132433,288.9947544827361,MAG
7,298.14020876405897,305.7807533206349,MAG
8,161.893422039981,160.28785154633593,RIC
9,137.78478151027696,130.80663298069283,RIC
10,251.79387984974798,246.44660253132272,RIC
11,294.28878448197526,285.9737612415025,RIC
12,299.63500746122844,296.4648574329834,RIC
13,271.96941751558245,264.7310722440266,RIC
14,299.616625054368,292.7643682787902,RIC
15,302.62381246897684,301.1066288569351,RIC
16,238.76170421001126,232.52376434256337,RIC
17,214.79072338199148,209.13993160138972,RIC
18,282.6037576027546,279.3148114771844,RIC
19,315.9147304878081,310.8410605899202,RIC
20,324.95535535031837,321.3272545180387,RIC
21,217.01832023479838,216.26005080401444,RIC
22,251.83013744127908,251.0997205616359,RIC
23,134.93237863754675,135.08619914740675,MAG
24,213.31422362558567,198.0736856688414,RIC
25,255.70833066666665,252.82500053333334,RIC
