Minisector,ANT,PIA,Fastest
0,305.7710233904762,290.51780250482756,ANT
1,149.59390983526694,143.98883626539126,ANT
2,209.15069765946953,232.78372664182197,PIA
3,287.00770877128724,293.00932532486775,PIA
4,317.67803590965985,315.46585942,ANT
5,318.5442703666667,313.2140004101422,ANT
6,176.95796220690883,143.41599353015874,ANT
7,120.15099152698937,137.08131584,PIA
8,253.14564792380952,261.5982791043028,PIA
9,298.2693878072122,298.85944675878784,PIA
10,297.7870795169565,293.53688489142854,ANT
11,133.58786584398385,130.60773293366017,ANT
12,180.99582141522242,196.57975358430974,PIA
13,248.80830802575963,247.46504612345677,ANT
14,189.0205591303716,181.3056917120636,ANT
15,193.04662853986176,196.312386932198,PIA
16,190.05023255024125,192.85645879584342,PIA
17,237.55670332179417,243.25937104099856,PIA
18,281.53064337814635,282.52083342222227,PIA
19,296.5244206469418,294.941574042294,ANT
20,243.171009216,241.54407320083956,ANT
21,203.3892474005964,200.55973433172161,ANT
22,190.973556352,196.3669980046297,PIA
23,273.21603696919635,275.5470111395804,PIA
24,307.01502716349376,304.1807716532443,ANT
