Minisector,RUS,TSU,Fastest
0,313.19795382671384,307.73514290962964,RUS
1,185.90813894954823,182.0523303774638,RUS
2,113.32973297478726,113.89221935117502,TSU
3,196.34892372156108,202.33837284749313,TSU
4,255.76882226748586,257.3370161149783,TSU
5,287.6775520950051,284.9015386978201,RUS
6,304.42838538095236,298.10194223956995,RUS
7,230.21673746919916,236.3672899490137,TSU
8,143.33029356611337,144.54619214775605,TSU
9,231.27135765386802,227.80234303054237,RUS
10,271.6127248082088,268.81318817835705,RUS
11,224.29164696899826,224.7261509540574,TSU
12,170.91540649548492,174.0387012801044,TSU
13,106.70171896084656,108.31411835772087,TSU
14,106.75429270553167,106.16511388795772,RUS
15,139.14595054607472,139.7308309723158,TSU
16,112.96383411255519,109.47198455369971,RUS
17,211.56171949482922,199.37125516943271,RUS
18,150.106114709963,167.40665073753837,TSU
19,144.72666630417578,140.30837611144162,RUS
20,244.34979069494952,236.61422048663476,RUS
21,276.4421293925926,272.0754116591825,RUS
22,295.0936612935245,290.9481429808035,RUS
23,306.312666432,299.73823580454547,RUS
24,312.4584490962963,304.95156248,RUS
25,,306.0,TSU
