Minisector,LEC,VET,Fastest
0,273.7352496604444,270.1271007718519,LEC
1,233.77126637360936,243.29424838612493,VET
2,112.79918262492488,107.02408539826797,LEC
3,182.17393750602966,175.15606095616883,LEC
4,182.94314911891985,171.64125466277417,LEC
5,220.41258585236412,223.13826322704995,VET
6,271.23316393351126,273.2708103237039,VET
7,289.1383551588304,284.9984419337143,LEC
8,185.70367896288198,156.79051960186789,LEC
9,131.19100507552082,112.07613882885882,LEC
10,138.6696033122238,135.68163357097063,LEC
11,192.71068476952084,212.04121386656507,VET
12,218.29683374933336,179.59784822097902,LEC
13,132.6414378330421,133.02643062742365,VET
14,145.79413269339352,110.91298979660131,LEC
15,133.6405631419166,185.95161628565657,VET
16,248.9797670442701,249.01499605534607,VET
17,145.16907852372813,121.97462773440907,LEC
18,194.1746796137931,168.81321744488403,LEC
19,124.05271354906226,115.55161552722575,LEC
20,132.685920029889,106.61160374947107,LEC
21,121.8072110977344,125.09979361816242,VET
22,140.33060491910072,200.79906765586932,VET
23,215.7142592474074,210.69257873404678,LEC
24,236.85373458295695,249.0049920775758,VET
25,259.58729891516356,,LEC
