Minisector,SAI,LEC,Fastest
0,287.6426458352941,287.94632445490197,LEC
1,126.47827362265106,124.54855191436475,SAI
2,152.13015555385766,162.48960471814394,LEC
3,216.37310496969695,209.32575379785885,SAI
4,158.17772750844648,163.17633610534978,LEC
5,244.92653557894735,243.94362768192744,SAI
6,200.89187209777776,208.41496148405795,LEC
7,134.51853397979798,139.03524448754166,LEC
8,234.50905106085764,237.25410278496238,LEC
9,278.59173714285714,276.83143344365175,SAI
10,282.77881589243697,281.5036473777778,SAI
11,143.85132947917128,147.95087626943877,LEC
12,223.6716377295238,223.8601027866667,LEC
13,272.27919449996836,269.9402771555556,SAI
14,288.1028646666667,260.03727559764326,SAI
15,112.76920939359162,104.14743719009343,SAI
16,205.6103527884058,227.82395722666666,LEC
17,271.0213243607843,273.9824067555556,LEC
18,294.09241094285716,294.1286085539942,LEC
19,306.9171826590476,304.9046874,SAI
20,313.7928572571428,310.48499989333334,SAI
21,297.4340182816428,259.9495992036412,SAI
22,153.48763033333333,154.68797938924732,LEC
23,230.48739446106055,243.59567913039817,LEC
24,276.43704463333336,279.67682253333334,LEC
25,290.25000106666664,,SAI
