Minisector,HAM,GRO,Fastest
0,270.47377429691875,268.888571925677,HAM
1,290.63450017705026,287.5917599551348,HAM
2,297.26386388143413,295.7709280886026,HAM
3,128.80678965603067,132.30248493316194,GRO
4,191.87035274832894,190.18136676636152,HAM
5,258.1865361735447,256.08018347667326,HAM
6,141.59817410238895,143.8267539431825,GRO
7,204.1508444914732,195.4329510068529,HAM
8,260.8786125510762,256.75372076422053,HAM
9,283.3199916485172,280.25969265905394,HAM
10,225.8016133544172,228.84420253267325,GRO
11,177.66451809282793,179.11369655514812,GRO
12,186.57217349130204,182.86109675303211,HAM
13,146.18494521325283,142.98143134939212,HAM
14,179.28385981456222,168.98276131234942,HAM
15,158.62569009785693,153.89865141899807,HAM
16,215.63926596410235,205.01225224876197,HAM
17,232.80235957897594,230.0450785672086,HAM
18,236.51236486268607,227.20153173700842,HAM
19,236.75289857872244,252.44108056211113,GRO
20,144.2684858275267,138.4863327487501,HAM
21,138.15980589514703,138.6206902553708,GRO
22,168.9105459829106,161.3496706841267,HAM
23,150.80359573593495,143.57839994786954,HAM
24,227.63940055470994,219.93129212714032,HAM
25,,254.67708266666668,GRO
