Minisector,SAI,VER,Fastest
0,253.32794929953602,253.64186804970726,VER
1,209.57329145334444,211.63498614030163,VER
2,206.18897836011115,202.7105359576541,SAI
3,256.2089444947908,262.46673909520047,VER
4,272.2947852909926,278.7889653794345,VER
5,292.2242902421094,294.04219392249246,VER
6,168.63826579742496,141.39340616840263,SAI
7,184.78419678756114,195.77287005573194,VER
8,268.6782728,271.4904797378695,VER
9,297.2232691404147,298.50201971163057,VER
10,308.33311926245426,311.0274202663731,VER
11,313.67174259745366,310.8417992460243,SAI
12,110.81633314135873,108.56808411987456,SAI
13,196.99474288298978,200.52082384482384,VER
14,272.57147942647345,272.3970409084444,SAI
15,296.68717434180707,296.8176436879836,VER
16,302.7685755507181,298.40482877633474,SAI
17,187.52025930446842,185.13157753326766,SAI
18,220.46330744396937,221.08011931023194,VER
19,272.27754494439074,272.22785097543857,SAI
20,149.74897415623823,142.60497556790395,SAI
21,146.86190812653302,146.00584228235135,SAI
22,226.6684225184051,222.47249533866668,SAI
23,233.94158558118787,238.73011612072258,VER
24,156.77025251576148,162.4125335657041,VER
