Minisector,VER,STR,Fastest
0,276.46371463609665,274.56225068046894,VER
1,298.47355432397444,297.1445657859048,VER
2,297.1045489473986,294.80568935045204,VER
3,175.53477937820105,176.2508176486816,STR
4,117.35769088847101,116.61018292718832,VER
5,235.06802822443083,233.8027506590204,VER
6,288.9842257064248,279.91240261750204,VER
7,310.5168918547841,295.37001687004164,VER
8,180.82005421172468,189.3716933437369,STR
9,140.6826451927269,148.25535160114978,STR
10,249.2434409801382,247.5113963556322,VER
11,289.7257287784127,286.7133422778744,VER
12,302.4136700554808,299.2193740561983,VER
13,289.6177962233766,280.62898625333617,VER
14,300.88965571864736,293.0848873430688,VER
15,299.4053771869343,297.92267824441797,VER
16,257.6229457298551,253.41393266664534,VER
17,231.969908485615,224.3271538128254,VER
18,286.0973720990804,272.34891593979705,VER
19,315.47546108997165,296.3529621587607,VER
20,326.6820210909091,300.546604312,VER
21,246.71293322981938,241.60616828868785,VER
22,261.45783875908904,258.92620245677557,VER
23,146.6531545328107,153.8282908299279,STR
24,207.85132909408696,199.46304341741026,VER
25,255.35714285714286,254.3156256,VER
