Minisector,NOR,RUS,Fastest
0,285.37336053958876,290.06673802423495,RUS
1,296.2197883653184,302.14850450486983,RUS
2,301.1437603630476,309.67848058612793,RUS
3,295.8441432611241,308.01317141421345,RUS
4,203.11592877538462,189.1610730021915,NOR
5,225.47664005789622,224.7702546930972,NOR
6,270.12706903945576,270.0869253942857,NOR
7,269.36558773870536,254.89003472072523,NOR
8,202.01633612321604,192.6265740623507,NOR
9,148.71988647029778,140.17691318001673,NOR
10,183.783324032,185.42722774435885,RUS
11,263.78149303299904,263.06102940082053,NOR
12,254.54569744969695,239.0985737824196,NOR
13,233.58602536019862,229.50418063768117,NOR
14,270.5549042707692,272.44360044815693,RUS
15,176.69246525746033,164.35339737550746,NOR
16,224.23617857697056,226.5274893977303,RUS
17,242.06728180102562,235.07525069396823,NOR
18,133.62784051263185,133.7468281519034,RUS
19,244.94368243501683,248.2134614460947,RUS
20,283.807190822924,287.25584883576033,RUS
21,251.02426859537414,247.25858115918368,NOR
22,144.98029314785492,142.41230558658737,NOR
23,218.07503671706726,222.75734642139176,RUS
24,269.58825350745,275.1582968210344,RUS
