Minisector,HAM,BOT,Fastest
0,293.51901485104764,306.05689298590477,BOT
1,219.47775928562356,213.67613214253677,HAM
2,230.49535368806679,226.9023478866658,HAM
3,274.214720291542,278.56797861248555,BOT
4,248.43452720958155,256.8785974230549,BOT
5,127.70006109745242,131.64712260652274,BOT
6,210.6823151666058,210.2700285238243,HAM
7,256.4225438645063,255.16470542933845,HAM
8,245.28415768911148,237.3510352578266,HAM
9,233.91914271024763,232.44098008180777,HAM
10,273.4077709206349,273.90761638617283,BOT
11,292.7288322818471,292.7011923466667,HAM
12,301.9382331555555,303.53328061460314,BOT
13,306.6216618969697,309.73146936541355,BOT
14,301.15473025254903,307.69730649685846,BOT
15,254.65214162692064,253.3338635116883,HAM
16,243.05536007486543,234.38082752737654,HAM
17,277.1314758664662,275.8483483173449,HAM
18,285.3997894252819,290.42563371391907,BOT
19,160.7392265360581,157.68334936300798,HAM
20,209.5854820867577,209.70548205509562,BOT
21,189.0313772127961,189.39148995809526,BOT
22,136.27991038281144,137.14311848250307,BOT
23,229.1800849610921,237.3954817297501,BOT
24,276.9679835363265,278.3358339940136,BOT
25,,288.73500032,BOT
