Minisector,PER,RUS,Fastest
0,283.4921674479214,275.08746872242426,PER
1,147.6112854934123,157.23213382935162,RUS
2,146.8052909965715,146.428662771811,PER
3,223.58373688474202,221.8701581383572,PER
4,283.71843692022264,279.3343577898137,PER
5,287.86921784470275,276.6923917336506,PER
6,142.22419462419552,142.89118888391857,RUS
7,145.9897813969263,141.95818968374778,PER
8,142.87998976372924,137.54710525123127,PER
9,192.60207945231934,189.12420994589567,PER
10,131.82279371833656,130.6212748889441,PER
11,122.5261919797154,120.31680250191619,PER
12,161.47830278744289,166.507054895413,RUS
13,266.13372042045586,265.0890671920773,PER
14,290.9722796143251,282.6851242287521,PER
15,152.68803513729424,144.9091547322121,PER
16,204.13276553642908,206.292605223765,RUS
17,174.53605642820858,175.47718068912377,RUS
18,271.09236497212584,267.58387071410795,PER
19,294.1481150793651,288.5144444789611,PER
20,309.9063708043625,300.775905916753,PER
21,316.92801599061244,306.9100287985418,PER
22,320.55095030643275,309.6641362215734,PER
23,323.19760418666664,311.205015712364,PER
24,320.64180672268907,308.81158003925924,PER
25,316.02999936,,PER
