Minisector,RIC,VET,Fastest
0,297.68928604444443,294.6595756389234,RIC
1,245.5040835835883,258.8030757325561,VET
2,201.7403957858785,199.75926833931092,RIC
3,264.71224907955815,264.93260348953766,VET
4,237.48970175661375,244.08541583589744,VET
5,118.80790112620134,119.75909272583,VET
6,178.52998909821372,180.66460594570896,VET
7,257.2405807938511,258.28697924444447,VET
8,288.29695540394687,286.90911695905754,RIC
9,301.75758959999996,299.91716274285716,RIC
10,305.51508932571426,306.68,VET
11,230.4279406062395,251.64077647657197,VET
12,149.27943225508412,141.57864828196932,RIC
13,254.6975939378882,253.58402777777778,RIC
14,287.82353436848194,288.38681765372615,VET
15,298.07247090880253,298.4136363636364,VET
16,291.7293651301587,294.5583333587302,VET
17,256.139696987401,275.39502181029906,VET
18,183.21212109090908,186.74382346265065,VET
19,185.89420258539445,199.3637863078341,VET
20,174.05398527603663,173.80189185706476,RIC
21,244.79094974554334,252.4398192664633,VET
22,127.88199102122677,134.46421466543828,VET
23,192.45448845247313,186.1518901632618,RIC
24,275.5666910920635,273.3739896971862,RIC
25,,289.0,VET
