Minisector,PER,STR,Fastest
0,270.49537064231816,268.6990068191893,PER
1,290.7292636146283,288.81747719241616,PER
2,294.1062950078908,296.4671224746032,STR
3,125.75323065582411,121.07985538129036,PER
4,184.2234404250295,192.83821595482019,STR
5,249.4282592671073,253.7387600577997,STR
6,132.56965733188275,135.3700672333439,STR
7,193.4600530537228,195.80553415457615,STR
8,255.09247048516423,253.97925342353318,PER
9,280.48139863070264,280.486396363323,STR
10,229.92039516883452,225.00855068752892,PER
11,167.33259544441415,172.08580548216264,STR
12,185.2486652118895,180.09485313316955,PER
13,140.83330507093822,144.1981423373069,STR
14,175.7099963287423,171.101148182799,PER
15,159.1078457488799,155.37992093307938,PER
16,214.03771861499843,212.27939403834142,PER
17,230.77504487499561,231.29023633645517,STR
18,235.74347916937126,232.5475725438322,PER
19,233.3728325608753,229.95557383334102,PER
20,145.06881552020474,137.9920231234913,PER
21,128.2192191571726,131.2202607212638,STR
22,163.84713447671623,167.2243287218782,STR
23,150.23936327564877,143.78884004963143,PER
24,224.93095213711175,217.35394490353826,PER
25,,251.25000106666667,STR
