Minisector,PIA,RUS,Fastest
0,280.6564407901821,293.44521872442687,RUS
1,144.48253152200343,159.37989515709504,RUS
2,173.04353611917287,164.97358005395236,PIA
3,245.16478699359305,244.9741257148718,PIA
4,265.8651483679481,268.9190251951561,RUS
5,233.62794727009523,235.94717675522637,RUS
6,213.67992098344817,212.30672341209194,PIA
7,145.680931758557,143.17310478523342,PIA
8,226.58418932465457,228.9632963095994,RUS
9,297.890006321207,304.7880515487831,RUS
10,319.68921594472,324.9103305452945,RUS
11,317.5795049584541,330.75111090666667,RUS
12,310.40809946326823,326.69613441791944,RUS
13,305.1647382829329,321.7317444632494,RUS
14,124.90515872921749,118.93387299600764,PIA
15,119.93053665269564,112.71643340309964,PIA
16,104.09452662443785,99.94417120459995,PIA
17,239.29787287238244,247.80683969947088,RUS
18,303.64756201379316,309.45975280809773,RUS
19,322.11592244705884,328.282821168,RUS
20,321.85768775306826,328.07736292819374,RUS
21,315.4691607828571,321.7820408666723,RUS
22,115.42304142454945,118.44997642320898,RUS
23,210.11380937477773,207.43351908617606,PIA
24,273.6965995699501,277.4034727731677,RUS
25,286.2,,PIA
