Minisector,ALO,TSU,Fastest
0,288.10133203706437,287.77412266666664,ALO
1,297.68562787875976,294.47543848421054,ALO
2,161.80800101966133,163.42377418039214,TSU
3,217.45543348213405,217.43884917414553,ALO
4,267.9007913439821,270.23452413968255,TSU
5,288.73223161200855,291.283333145098,TSU
6,295.7694762423072,298.04304467496087,TSU
7,176.49387201778728,175.80328379061206,ALO
8,118.89231872439464,118.25449108843748,ALO
9,243.91492911222417,245.1386277932976,TSU
10,279.44748024473256,285.205184044883,TSU
11,292.1644737684211,302.127632,TSU
12,148.42244033490945,142.33088776979602,ALO
13,180.36649006519798,185.73524589931975,TSU
14,251.85946957575754,256.51861398329254,TSU
15,202.01934686181448,206.20401157530864,TSU
16,203.30910014466266,202.05265806301597,ALO
17,206.54340326201762,204.95110801867315,ALO
18,234.02088299814758,239.06893395011338,TSU
19,271.4898807365079,275.0146823933411,TSU
20,289.87248076095,295.212955222409,TSU
21,260.69629793656134,256.19734913939396,ALO
22,223.29355250042673,214.06047725989143,ALO
23,199.5611650338681,199.37451934358975,ALO
24,258.5772727134199,262.8503764415678,TSU
