Minisector,PER,LEC,Fastest
0,290.70773720474307,300.13141353202616,LEC
1,168.7522717838471,165.0904987880549,PER
2,169.4308009056956,166.03263949107586,PER
3,253.06197973190805,246.08740331231115,PER
4,288.88089034825975,282.40439841693126,PER
5,255.3402443894346,245.49817816755848,PER
6,227.22957825800864,216.28571320680174,PER
7,153.37076327215314,151.23309440225898,PER
8,224.64164938119148,224.67399745698745,LEC
9,280.65515687860926,278.1489584811428,PER
10,300.71560709956714,297.1736534358095,PER
11,309.7414248547279,305.25339564485944,PER
12,312.4331140491228,307.5219907555556,PER
13,308.7440260796372,304.547516446851,PER
14,139.1760674136744,138.08920769910506,PER
15,120.10754292696613,125.81238284200599,LEC
16,98.26711478037784,102.5999837115778,LEC
17,232.26674003431174,229.70259011881413,PER
18,285.449057283958,284.20913514405873,PER
19,310.0192933677823,305.96020671331365,PER
20,319.58169451555557,315.57374900571426,PER
21,323.3860227239506,320.25212661150647,PER
22,128.547052654325,131.85630485755937,LEC
23,203.2709229237839,191.02861615820544,PER
24,269.38200145463344,266.96135514335407,PER
25,284.22000128,282.88124992,PER
