Minisector,VER,PER,Fastest
0,297.3660486218552,294.6921589057326,VER
1,298.231140322807,296.8675438596491,VER
2,298.0859649122807,297.479443608638,VER
3,237.86428717404294,234.42567811638443,VER
4,235.689080595482,238.29982697777777,PER
5,114.06216428178999,116.89174986755519,PER
6,216.5865651359961,220.06779163700753,PER
7,269.6600384,269.55995637056276,VER
8,235.8200293025349,236.09000213333331,PER
9,114.80824989746492,117.34116683319613,PER
10,235.84992888076192,236.67059034273063,PER
11,253.9077048996234,258.0843617108225,PER
12,137.47156940436804,140.98118154374473,PER
13,213.05251440311253,212.3438261728395,VER
14,270.5224207746032,268.5675167419501,VER
15,234.18849873066665,232.24278966153847,VER
16,159.74863455022813,159.3593478388106,VER
17,241.89166715362316,241.7472218222222,VER
18,128.376485640551,128.7368824033553,PER
19,148.0042577142093,148.12823488292,PER
20,188.88625123555553,190.1391658920635,PER
21,258.6791045643318,257.7399509193936,VER
22,275.9346373514739,275.1484068366888,VER
23,283.5873016888889,280.1897915504762,VER
24,290.2979465447619,289.27604154666665,VER
25,,293.6569043931302,PER
