Minisector,NOR,PER,Fastest
0,275.37498334911567,270.7979968727526,NOR
1,240.11009433184108,241.89671317713575,PER
2,119.91157470487815,118.52441852846188,NOR
3,176.2653754978818,170.38005200701966,NOR
4,196.51586058453628,187.51250315636224,NOR
5,203.54890285113999,192.08862842857187,NOR
6,267.7738174317493,270.213236741938,PER
7,289.34487491388103,298.48190080262475,PER
8,229.56152143197463,228.53016984890593,NOR
9,151.69804732084333,144.17254809822222,NOR
10,121.8026620368742,115.23282313192419,NOR
11,161.26760740679276,150.3827540405092,NOR
12,243.98602299204288,240.12177066888887,NOR
13,153.14879537349645,148.63467110413205,NOR
14,159.75455921062712,144.36123811415706,NOR
15,106.32554466008041,110.512371742957,PER
16,224.70132686569562,220.63733688516015,NOR
17,234.55407826539684,241.0058706519553,PER
18,132.03623203639924,124.36935334492593,NOR
19,243.12657352049925,244.3563754926536,PER
20,277.3514044377489,285.8657019113035,PER
21,197.9460401416563,194.6858897298102,NOR
22,165.21737980547186,142.50603817862242,NOR
23,221.02298790734736,211.1309830695851,NOR
24,234.8464935606349,221.3132236414229,NOR
25,260.68125088,,NOR
