Minisector,NOR,HUL,Fastest
0,296.84434027015874,303.34321726402555,HUL
1,233.91417733685043,240.49325536880914,HUL
2,124.40211224352458,128.8503809711722,HUL
3,241.38757759509429,239.9076745714224,NOR
4,193.28775289875225,189.73782079766428,NOR
5,249.74447131524695,245.90991518210623,NOR
6,237.24884759677957,230.36656592637985,NOR
7,259.82324301781836,253.484606441693,NOR
8,284.66368670319594,290.1567558945582,HUL
9,209.98601665157116,210.99497770538045,HUL
10,206.9514306931055,206.31927032350941,NOR
11,271.2561129992958,274.54025651713204,HUL
12,218.94741114785185,214.973289798514,NOR
13,251.40023381424984,248.7734791284737,NOR
14,290.9154196099856,291.5088435252623,HUL
15,305.6207903706481,306.7775571106629,HUL
16,302.9253702174577,307.45451406926406,HUL
17,211.4719648580036,212.8387227922106,HUL
18,263.2587599814966,260.9768275051082,NOR
19,293.0675513575932,293.79042990894544,HUL
20,306.2876245755844,308.8621088435374,HUL
21,300.12513450742887,311.18968668380637,HUL
22,157.85011059222575,153.1143056054562,NOR
23,232.943049697998,229.74122320571428,NOR
24,282.71918201793534,285.10119076952384,HUL
25,293.7492163512544,297.37500032,HUL
