Minisector,BOT,STR,Fastest
0,288.81907527249746,307.3824065777778,STR
1,297.77242082696966,325.176077934156,STR
2,303.00187977944864,336.87303915742297,STR
3,305.9050438736842,315.4351880888889,STR
4,193.10295893333333,165.15354189922678,BOT
5,228.04475326105353,206.17316914003527,BOT
6,257.22833397398784,235.5320483110707,BOT
7,274.581547784127,267.1994041904762,BOT
8,269.2139840710834,251.97490318975804,BOT
9,178.0517493904762,163.12628614260706,BOT
10,236.97554630934337,227.88822902002994,BOT
11,142.55750050666666,130.21534552534305,BOT
12,227.73583388626116,232.1033369451578,STR
13,205.77894000656815,184.56224056666667,BOT
14,223.8752739801144,226.88134958481766,STR
15,258.45955623188405,241.38959661449277,BOT
16,270.0158126874383,261.01341736744405,BOT
17,289.0367848399713,283.3776934965986,BOT
18,133.99569140717296,116.47292044732954,BOT
19,170.8147138420168,160.2399597851852,BOT
20,157.0819929759999,150.6995604702224,BOT
21,169.50584667338936,152.33067962259423,BOT
22,121.97571585913806,120.11690405738602,BOT
23,232.93412242168404,231.8859039024762,BOT
24,273.48373023492064,272.01567395555554,BOT
25,286.1124992,,BOT
