Minisector,GAS,LAT,Fastest
0,271.02812565333335,268.9483325333333,GAS
1,287.56362214783144,289.8476504880708,LAT
2,295.0426891931793,295.80637032535907,LAT
3,133.95508682009483,123.06062902156836,GAS
4,200.45387647760313,190.73088242374067,GAS
5,258.01666732698413,248.83721791812854,GAS
6,151.35408740465772,141.99692806106987,GAS
7,204.97667608905445,198.65771630617286,GAS
8,258.04947632531685,256.4082788414836,GAS
9,278.8114037894737,272.68234413210234,GAS
10,249.62644851014494,224.73405792463768,GAS
11,187.27542977996717,171.59666128680075,GAS
12,194.84273609881,184.42286543448276,GAS
13,156.3211464084656,144.0142835481433,GAS
14,185.58272883298105,172.10249960244414,GAS
15,169.25340548263222,157.65972296042347,GAS
16,218.5622854672824,216.04396042123608,GAS
17,242.76332023412263,222.74144743407732,GAS
18,243.08344268744588,231.3437459069564,GAS
19,250.9399324883613,232.29508699465464,GAS
20,146.8726856888889,139.75470508960103,GAS
21,142.9485289293319,133.63407118004537,GAS
22,175.65827502474409,167.36730074961315,GAS
23,157.3555139136058,147.74367236483772,GAS
24,232.70687854035785,225.73268107340053,GAS
