Minisector,RUS,TSU,Fastest
0,253.81531598006566,249.9235605388006,RUS
1,214.63586353926655,211.18241928066485,RUS
2,207.01762549341964,202.65008363848932,RUS
3,255.58793473855073,258.12903644971044,TSU
4,268.9101728272965,272.48155281535355,TSU
5,289.3031996160983,286.2852950577778,RUS
6,162.58742055088786,152.30808009220232,RUS
7,185.67435141885056,187.77013264042452,TSU
8,266.86303631454706,265.60097673907774,RUS
9,293.61215719896103,289.4160956009697,RUS
10,303.59301588825394,300.11387423064326,RUS
11,306.1841921942857,300.28990317656564,RUS
12,115.57044055419857,109.67293432550672,RUS
13,194.63830932597702,198.9177317403393,TSU
14,272.038943910559,270.34724686211695,RUS
15,295.3753288701754,291.73619874239205,RUS
16,301.8088645650872,296.4620109714286,RUS
17,186.75640531349862,176.61088951571674,RUS
18,217.7801582556539,222.07888502151675,TSU
19,269.5522232984127,266.3514354753944,RUS
20,145.31007878104106,143.64318632789275,RUS
21,142.25719694999356,145.15754329799216,TSU
22,217.41227807390476,225.50054412497272,TSU
23,226.18968083262456,222.24452427788822,RUS
24,156.74772667067884,157.29360849899174,TSU
25,226.62953098526467,,RUS
