Minisector,VER,NOR,Fastest
0,294.9966157521886,314.3867853420606,NOR
1,216.05775932835218,210.58576669968255,VER
2,233.3262801495591,224.99840095980466,VER
3,277.3173577994478,281.4485073308119,NOR
4,241.92732812609694,233.00168905295237,VER
5,133.6630549912837,125.15662691696895,VER
6,212.52043569824056,211.30183828696906,VER
7,261.56829195545356,262.1804265295238,NOR
8,251.46698733602182,241.60489376822997,VER
9,241.05832491745593,233.1451763774359,VER
10,275.88352765084886,274.7129312636257,VER
11,289.6422955577274,288.9896765596331,VER
12,297.45618639906024,305.68527874493503,NOR
13,301.56904765968255,320.28649569091345,NOR
14,295.39677814923783,325.4240846949495,NOR
15,259.304627584265,265.65177026438096,NOR
16,248.33281112333725,245.99069930707165,VER
17,278.45028876882486,285.6178272581818,NOR
18,285.38670480246793,303.2691053258346,NOR
19,161.22987560662085,158.44357745088433,VER
20,211.41180323706152,206.96376901681023,VER
21,182.85665483009672,185.4554016842743,NOR
22,140.42650735409995,139.6227907841604,VER
23,238.48313151685923,239.19479767083342,NOR
24,281.54343441454546,294.63449841471373,NOR
25,293.0,309.08269230769235,NOR
