Minisector,RIC,HAM,Fastest
0,277.98586949565214,278.14003612753623,HAM
1,293.11777237602496,295.8895834133333,HAM
2,239.69733307733333,233.30048623194116,RIC
3,119.85583988216939,118.40629225816878,RIC
4,135.3861672714205,138.1617564234973,HAM
5,248.98866608253968,249.05833370793653,HAM
6,257.5112235836876,250.03655705979128,RIC
7,129.93877080852798,124.15321705028276,RIC
8,247.20398608695652,245.49283374933333,RIC
9,265.891856,254.9760475752911,RIC
10,222.43128845573622,205.46537305747125,RIC
11,145.49212629118784,142.93484005500852,RIC
12,209.9557286071326,208.5571428952381,RIC
13,263.6761620208617,255.74152618385887,RIC
14,124.81225963034295,120.69296656896556,RIC
15,190.28362001051087,185.83246077049196,RIC
16,254.84274670422045,254.95226677652,HAM
17,285.4889928048344,288.30083333333334,HAM
18,296.1120615298246,303.04634503950814,HAM
19,300.22785094736844,310.0535714406015,HAM
20,303.6997917333333,312.19671051228073,HAM
21,189.3967130120062,157.77496293434152,RIC
22,137.3658699114048,155.63645088027852,HAM
23,209.23009339373147,200.27683101199952,RIC
24,235.66344106971428,238.0118590769231,HAM
25,264.35,,RIC
