Minisector,VER,STR,Fastest
0,293.26730425650993,307.4835648592593,STR
1,300.2896480169312,301.0974217931537,STR
2,170.24147444355668,153.07500013714287,VER
3,235.32646464667374,233.48786302608696,VER
4,277.65282029874686,290.2261904761905,STR
5,294.2509818167525,316.6211485938375,STR
6,302.4521164444444,327.1320312666667,STR
7,168.66751765238095,148.42579880902255,VER
8,143.51877247749292,136.12256710078626,VER
9,254.583618031746,255.1898810920635,STR
10,285.2624523234179,295.08515243174605,STR
11,297.71412023703704,303.04511154297717,STR
12,153.63380298440683,138.1816731220899,VER
13,208.03266850133332,206.63862123724942,VER
14,266.8702956045351,265.2308335466667,VER
15,206.61660743608198,202.12725859767053,VER
16,232.75471174492756,224.889833472,VER
17,215.45534008185925,215.48202793278622,STR
18,252.4248310639456,249.2031746031746,VER
19,278.7232460912281,279.2313599438596,STR
20,291.5902440336406,293.9017544421053,STR
21,272.6227365561905,259.8674602666667,VER
22,233.58540260041408,216.44683306666667,VER
23,226.49303047458457,211.76047638771067,VER
24,271.60570268070177,275.11145882666665,STR
25,286.0250016,,VER
