Minisector,RUS,BEA,Fastest
0,298.9960631541935,296.46930316880116,RUS
1,151.975642219457,154.75790322850105,BEA
2,148.89403596463887,153.76479554552105,BEA
3,231.04923167463463,224.88857898155604,RUS
4,287.79384399627924,289.35252258933184,BEA
5,291.6414963309421,288.3940522325457,RUS
6,138.6952646061343,140.15377174162106,BEA
7,137.17001312063664,132.36217717249878,RUS
8,131.5904682374677,131.97723096112847,BEA
9,187.0855327733858,185.93574452333334,RUS
10,129.9139095780752,127.22052832712455,RUS
11,122.09201271988637,121.89185950373214,RUS
12,167.89272902750278,162.0361466011954,RUS
13,270.28145857333334,268.40768555408425,RUS
14,294.452595978836,292.82822474037215,RUS
15,142.36803073101552,143.5731536464759,BEA
16,205.40899258637558,199.45615012305447,RUS
17,173.16034407907688,169.84708028568033,RUS
18,270.245056405008,272.5489610604442,BEA
19,294.4419982060606,298.0921771102041,BEA
20,309.99528268900906,313.39549166956783,BEA
21,319.2197147119192,322.5934771225397,BEA
22,324.94278298588245,326.1716669471605,BEA
23,328.0118054806349,328.5845648077398,BEA
24,326.6461706768254,327.6839729777778,BEA
25,328.0,324.0,RUS
