Minisector,RUS,ALB,Fastest
0,280.03725054839003,284.36587170955266,ALB
1,150.00580410233198,159.20976856635716,ALB
2,179.39569966389962,164.8099690549259,RUS
3,249.77236125102368,241.9745078471477,RUS
4,280.7466079344427,282.96632997640836,ALB
5,242.60013945541166,224.64877638177094,RUS
6,225.68809458637588,212.48655065756643,RUS
7,156.7223317688889,150.19086264573144,RUS
8,232.32851530793653,228.58669729706668,RUS
9,279.7053844125888,280.2858836339431,ALB
10,297.36239737797956,301.0653924517962,ALB
11,304.58052450865677,310.1475206715627,ALB
12,307.30341539954657,313.8267285175709,ALB
13,296.6993307498565,304.1117595619652,ALB
14,128.55946097040132,123.56637047448923,RUS
15,119.33816934543952,114.31728150799971,RUS
16,100.51639247179249,94.67594581089631,RUS
17,234.8728928799825,234.5049342866745,RUS
18,286.89428478154497,288.6518591940318,ALB
19,302.28771930760234,307.2741645090909,ALB
20,309.9121202873686,316.59553882185463,ALB
21,307.45805623318904,320.2036576651852,ALB
22,130.42432938779157,121.19259669160967,RUS
23,204.60013076820593,201.02811868073826,RUS
24,266.95717991201366,270.3988812432536,ALB
