Minisector,STR,KUB,Fastest
0,281.4060509651452,278.2223311213078,STR
1,254.07522802174384,240.1629154578626,STR
2,270.27481834836533,264.90117955440155,STR
3,286.303703762963,280.2075413430293,STR
4,126.33684512830591,121.42461392463332,STR
5,206.14769856754916,210.60787918006395,KUB
6,265.6655150268138,264.66653620805374,STR
7,289.5172018507411,287.0203236773808,STR
8,301.7464776039017,296.5557292,STR
9,308.05,299.27407407407406,STR
10,297.4713584,273.8216522803024,STR
11,105.40143953890832,95.9071002995295,STR
12,220.22400447075668,217.9024379156862,STR
13,269.77967100216046,265.68204831023746,STR
14,277.0266027485293,263.19233535923,STR
15,128.382605183746,125.24888148956195,STR
16,200.33980822465216,201.7980094380676,KUB
17,254.6240415937106,255.37832569315074,KUB
18,253.89262516490982,248.844249394317,STR
19,248.48818483969424,248.0291907944224,STR
20,148.65827844810494,148.3003104035862,STR
21,182.60809098940402,188.46142808195708,KUB
22,170.34115997807595,161.9256831923788,STR
23,188.0161594690906,186.09103548889993,STR
24,247.07847071737547,249.68150263591014,KUB
