Minisector,SAI,RIC,Fastest
0,326.92249338546367,303.3605354819048,SAI
1,337.05416658823526,306.00172311578945,SAI
2,332.8845964467665,298.9298538160618,SAI
3,221.44940692161174,221.7588164923077,RIC
4,218.59790009642694,223.7671015817153,RIC
5,115.19323259138947,118.83555830670252,RIC
6,227.3826492601074,220.59276558017956,SAI
7,266.7229586866213,262.98939306666665,SAI
8,220.05865886827414,225.61865190840584,RIC
9,120.71387401295584,119.41493848546827,SAI
10,243.14378673074035,235.8094985447619,SAI
11,252.22600206868685,249.55634133333334,SAI
12,130.2079115950127,133.2031826805475,RIC
13,221.3206647776688,215.87905778264806,SAI
14,265.8511902984127,264.1857951030303,SAI
15,218.27253317530864,222.8025937995747,RIC
16,167.03330114311072,167.25312362458638,RIC
17,242.1945651478261,240.91197038460913,SAI
18,125.01887693812564,123.24414397462384,SAI
19,141.826406875563,145.9608728333067,RIC
20,204.55475992380954,200.08595956673162,SAI
21,261.1881853247151,255.792579761642,SAI
22,278.63769813333334,273.23206297396825,SAI
23,287.9452393926178,284.6848173987344,SAI
24,296.69999973333336,292.99943053532377,SAI
25,300.5833333333333,298.1562496,SAI
