Minisector,MAG,GRO,Fastest
0,271.01669932308187,268.888571925677,MAG
1,288.9573803553713,287.5917599551348,MAG
2,293.38848050196077,295.7709280886026,GRO
3,129.76662674332192,132.30248493316194,GRO
4,193.89512988742382,190.18136676636152,MAG
5,256.82495869374645,256.08018347667326,MAG
6,144.2407249201559,143.86126118014772,MAG
7,199.99707194494493,197.53432396547177,MAG
8,256.98561455901415,256.75372076422053,MAG
9,280.456117585045,280.25969265905394,MAG
10,239.97602913162058,229.08971669778407,MAG
11,184.54914030273278,175.6692521107037,MAG
12,187.37296898876386,184.5355406231534,MAG
13,145.18457105039366,142.57021278029237,MAG
14,171.4374729393868,169.7433890284542,MAG
15,155.1774421859133,153.98989156464003,MAG
16,212.87000054285292,209.19871523063526,MAG
17,239.6370563393657,228.7733325717294,MAG
18,236.52287665093345,229.61138737598125,MAG
19,246.06446411193318,244.11837970546503,MAG
20,142.21525722975068,139.88334126039317,MAG
21,136.45196044158797,133.9787738356444,MAG
22,165.4913099093656,165.4675161799884,MAG
23,147.05634084864676,145.10406571732636,MAG
24,228.12540009976883,225.0268122122449,MAG
25,,255.35416533333336,GRO
