Minisector,VER,RUS,Fastest
0,292.2906127032181,288.3949706095238,VER
1,301.68642401735934,297.3932639111111,VER
2,306.21821425142855,301.03729949946523,VER
3,307.1267970509804,298.78508719157895,VER
4,176.01992609381347,167.86085449335303,VER
5,211.74085115566595,207.4646037486078,VER
6,242.69555784281573,226.81533070052907,VER
7,267.77923237028614,259.97889637434264,VER
8,256.61514146742854,259.1636785735726,RUS
9,164.54775483965372,161.99068765374636,VER
10,229.165047265526,224.92127429863388,VER
11,129.61305489924825,135.32440488643036,RUS
12,229.62730079346585,226.65081925315582,VER
13,185.49525954551729,184.21793828819537,VER
14,213.26990956906738,209.93988323113538,VER
15,247.7983910745298,231.54183067348265,VER
16,265.208204184127,252.52514280046586,VER
17,287.98586781795416,278.41568418365557,VER
18,158.90663209332425,157.13629465871182,VER
19,166.61143064689185,163.97796382421208,VER
20,139.515669376951,140.20914973509736,RUS
21,224.0290949381829,218.26850136716192,VER
22,263.3438202756302,254.7366445315084,VER
23,258.86214291777213,244.085664504381,VER
24,277.208463389899,267.21797450969683,VER
25,,280.7928576,RUS
