Minisector,VER,HAM,Fastest
0,291.2260420266667,284.43190435809527,VER
1,304.77745104313726,286.6719298245614,VER
2,183.45938686701328,173.94388992774083,VER
3,226.69010484444445,221.28583737436367,VER
4,274.47421447271716,269.0158588538273,VER
5,292.2787282526316,287.07675413333334,VER
6,299.7907408,285.83997499348374,VER
7,202.27392334038538,188.89382157277666,VER
8,125.23999189900331,123.20922947044964,VER
9,249.0924606984127,244.77787377909976,VER
10,284.941009122807,277.19775528469825,VER
11,302.1543859649123,282.05979168,VER
12,160.25371482597401,157.91879608790953,VER
13,192.2826447564626,190.70285999685498,VER
14,258.99333942131517,250.0855462562754,VER
15,217.30849928533334,214.3328526769231,VER
16,227.02807966497895,218.75899077720388,VER
17,221.95190915555554,223.7015628,HAM
18,244.87959913584262,240.66108577264234,VER
19,277.3180140992481,272.66228287857473,VER
20,295.9685186962963,285.5491227508772,VER
21,273.7915589561059,266.5488154452002,VER
22,235.7531050600414,232.35018137971016,VER
23,214.09608528058607,203.24230756923077,VER
24,270.89904083959175,258.71767508731625,VER
25,,276.0187504,HAM
