Minisector,PIA,ALO,Fastest
0,290.4676541915344,291.9605502650044,ALO
1,303.5136298389318,304.7357984355556,ALO
2,304.98699999999997,308.345553210084,ALO
3,191.09633881345218,182.79604762408238,PIA
4,207.36876778740708,206.49550046400873,PIA
5,207.38472556088848,198.4385023941243,PIA
6,264.2928072931554,264.6043624579827,ALO
7,252.39560721450772,255.33211558640411,ALO
8,208.49987941094653,200.01981007744757,PIA
9,202.47302958917135,204.9574347297303,ALO
10,148.82783855994504,137.52946913743733,PIA
11,200.48484263274116,206.7098047820529,ALO
12,183.9202676935359,172.17443455229005,PIA
13,246.48518771486295,246.21234434142167,PIA
14,174.51216230219558,172.10420075549914,PIA
15,231.73921358535628,235.62753041151805,ALO
16,273.8650139215119,275.88684070748303,ALO
17,277.98063749123537,272.73733773298704,PIA
18,269.93686074178635,263.406198002963,PIA
19,258.1321155231746,246.22192939835517,PIA
20,257.7389287107483,254.71627045969942,PIA
21,257.73142154064124,258.60192177278685,ALO
22,224.12866846824514,214.76780695080313,PIA
23,200.05886635706227,194.00026933242444,PIA
24,267.88048306684806,270.50964763229814,ALO
