Minisector,HAM,HUL,Fastest
0,276.7874121821167,276.58203174015955,HAM
1,293.6143308901935,295.73843372395635,HUL
2,288.2825223671014,294.0646168757122,HUL
3,190.66045455628816,187.24293529128292,HAM
4,129.18489883835983,123.27955691886905,HAM
5,238.48184603253685,238.859811372043,HUL
6,284.6258660114214,284.59656874508613,HAM
7,293.68266666666665,290.36746802051283,HAM
8,183.6911530533063,179.19194959070674,HAM
9,150.62028479093996,141.46638034051148,HAM
10,253.41378073732844,251.7498623079108,HAM
11,289.3744283153148,287.0564842431952,HAM
12,303.07968033649655,300.5828158767175,HAM
13,282.41316672,287.1185896205128,HUL
14,299.8137859474285,300.9374738550725,HUL
15,302.4310515873016,305.84119657807054,HUL
16,265.49605896830496,256.90341090328883,HAM
17,232.44261834622353,224.67239246185852,HAM
18,283.8303337386667,281.0660343466289,HAM
19,308.1063323076823,303.78027777777777,HAM
20,310.0295072562913,300.9460222037948,HAM
21,237.7339868677994,224.12933448383632,HAM
22,262.6525512272109,256.5353734421769,HAM
23,140.25271758231466,135.82769938687656,HAM
24,214.85451497095292,216.04081657703293,HUL
