Minisector,RUS,OCO,Fastest
0,262.4746194339182,259.0615076266282,RUS
1,279.5143865464627,276.405231122963,RUS
2,278.5152855833333,283.6512952013427,OCO
3,122.75758122952438,129.05535885976903,OCO
4,192.4197244027171,184.28932850285716,RUS
5,253.99949047536438,248.94632237176472,RUS
6,141.72616623195398,134.95619203779805,RUS
7,197.0156904958153,196.8400162761483,RUS
8,249.8748250122449,251.89493943314287,OCO
9,272.55085942457663,274.54803497116126,OCO
10,229.8304099435168,224.61077476963922,RUS
11,177.72469611755102,175.0732023369697,RUS
12,181.39317327295075,182.47696464755282,OCO
13,142.79811514074075,138.56440936051482,RUS
14,165.3248419768889,163.68888065890764,RUS
15,155.9978995232653,148.0086095459774,RUS
16,204.89834059393937,208.45718133541124,OCO
17,226.68556126811893,226.71439872358914,OCO
18,230.72211886657598,230.36424930763752,RUS
19,239.24299998933142,233.80974461008816,RUS
20,144.89533033476644,139.54691838973548,RUS
21,130.91435473660619,134.81196795009757,OCO
22,161.64735927211754,156.66456530835327,RUS
23,150.21812957985185,142.34528603120214,RUS
24,225.9922239423045,222.10495129295236,RUS
25,249.08181643636362,247.7124992,RUS
