Minisector,RUS,HUL,Fastest
0,252.93487339094725,253.7697818669815,HUL
1,212.15093334739927,198.9211310412289,RUS
2,205.63738735912833,206.3404806410509,HUL
3,260.4435881762963,247.98270734067614,RUS
4,277.0818237705544,269.2507259287405,RUS
5,293.5728563603689,288.9275694927729,RUS
6,144.69067538705139,148.50450835346115,HUL
7,184.83202445409813,197.05309868414957,HUL
8,269.9447674404431,271.44793094876036,HUL
9,296.3207416222671,298.90265620109176,HUL
10,309.79682553416933,311.5193256164849,HUL
11,307.14174030239604,306.18938801992243,RUS
12,103.79950480073958,103.28930456981433,RUS
13,205.15852257568918,201.96326765039564,RUS
14,273.16703636012835,278.7857865403776,HUL
15,296.0422190178685,311.7598114814892,HUL
16,293.8231641005614,309.5134134498404,HUL
17,181.2574252994163,178.34464341201445,RUS
18,223.84374476894757,226.50032100572295,HUL
19,271.27336959789193,269.87849841145584,RUS
20,137.14374772474122,143.9245349422964,HUL
21,146.5597546466359,141.34871945914716,RUS
22,230.25650420121212,218.7560115621231,RUS
23,247.49690595258886,200.39380810031452,RUS
24,168.10630866965175,164.1210290844325,RUS
25,228.62857325714288,,RUS
