Minisector,ALO,OCO,Fastest
0,283.2645293166843,279.79323329260967,ALO
1,119.28449728224062,116.7339616762556,ALO
2,161.86575753604816,161.736614193498,ALO
3,206.14805473773785,208.91249349233954,OCO
4,168.6296098486331,163.6638514563265,ALO
5,242.62302010702948,243.74959353769827,OCO
6,193.19358192406546,224.29528316331977,OCO
7,140.22892421762066,132.49583297162908,ALO
8,239.13393882144817,236.24562000175723,ALO
9,277.748992066455,275.6546464668783,ALO
10,279.1121614613,287.2552549049869,OCO
11,155.382335213658,161.92605867460708,OCO
12,226.38216493719247,218.50749254421748,ALO
13,272.46986914555555,268.934791632,ALO
14,259.9448986402241,274.03203853266103,OCO
15,100.35857890005697,103.12440282764649,OCO
16,211.13470956357725,217.66993298376474,OCO
17,271.70244392431744,267.2687250605423,ALO
18,302.1832691919792,290.2897993580247,ALO
19,316.8703101529191,301.2880235402659,ALO
20,324.4036673705495,305.92246240401,ALO
21,271.87208105820105,296.4117731392655,OCO
22,150.89027428462077,170.87960526733156,OCO
23,238.12124423148782,220.91969277883598,ALO
24,281.92061627271516,271.2621328694591,ALO
25,293.0,285.4468752,ALO
