Minisector,NOR,RUS,Fastest
0,292.72171665864107,303.8335151542857,RUS
1,304.71690417430244,316.77754913114285,RUS
2,305.9582427134499,321.4891433533336,RUS
3,189.24847954955703,186.709401734428,NOR
4,209.18699232897802,206.1893562176086,NOR
5,203.85310341879352,200.98635603987125,NOR
6,263.21517455223494,258.19268180654547,NOR
7,254.3537356982857,256.1062201620679,RUS
8,205.98980607778245,201.4940133153804,NOR
9,205.35594916040435,205.84352679183672,RUS
10,145.15102444843538,145.10504222558558,NOR
11,198.19108567783053,201.78599724263051,RUS
12,181.40592821824066,184.1574851504303,RUS
13,246.986214230303,244.661903960488,NOR
14,175.22948646651923,180.77346561896408,RUS
15,238.04087352002952,227.4191313097143,NOR
16,275.58067192066113,269.5198394964858,NOR
17,279.0832797931429,272.05317233939394,NOR
18,272.7965607611561,261.1304341268904,NOR
19,260.3255424360173,247.46785983656156,NOR
20,261.9654312765318,252.35119047619048,NOR
21,262.51228870960114,248.80591305917335,NOR
22,221.13862761830674,228.44041678312706,RUS
23,203.05588855057192,194.53804763375436,NOR
24,269.40133269895784,262.5867830553099,NOR
25,284.37142857142857,278.1916672,NOR
