Minisector,HAM,LEC,Fastest
0,297.72321401904765,299.4654759111111,LEC
1,251.70780921010507,245.42929356567743,HAM
2,199.12569345777777,197.86962644522586,HAM
3,265.06529328194597,264.30304739365295,HAM
4,220.76233883900227,224.2174121142857,LEC
5,122.58227500161655,120.16183130697344,HAM
6,183.5998063327731,173.76725917761462,HAM
7,257.29501633721935,255.885999232,HAM
8,289.1011435818198,288.3343909850431,HAM
9,303.24749994666666,303.03791648000004,HAM
10,308.1679820165951,309.3912697904762,LEC
11,235.51053011592083,220.50774118095237,HAM
12,148.14516385489677,144.96917255101712,HAM
13,257.07606660443054,255.31865854409938,HAM
14,290.29705075670995,288.52327851210214,HAM
15,299.4452380444444,299.53409083982683,LEC
16,293.0418019116883,298.15797616,LEC
17,257.52130736209523,256.0505219111111,HAM
18,188.58684762641255,177.22068516658777,HAM
19,189.05773612970918,180.96682987375985,HAM
20,182.9460814566042,185.4934473454623,LEC
21,251.10554744685712,246.91866624609523,HAM
22,131.56444247249615,124.80073266533044,HAM
23,200.70455595723124,196.89275081325638,HAM
24,276.54317944126984,276.98542956190477,LEC
