Minisector,MAG,KUB,Fastest
0,277.20869697742927,278.2223311213078,KUB
1,231.4427159888657,240.1629154578626,KUB
2,259.5712973948779,264.90117955440155,KUB
3,279.88613852498435,280.2075413430293,KUB
4,126.77816977605879,121.42461392463332,MAG
5,207.1409491896998,210.60787918006395,KUB
6,266.6153836098513,264.66653620805374,MAG
7,289.2917122221251,287.0203236773808,MAG
8,300.51511192684865,296.5557292,MAG
9,304.77236969570833,299.2313725490196,MAG
10,288.7433678755638,275.1994600550233,MAG
11,98.8229027278114,94.41377546880133,MAG
12,215.52918117173058,215.9095782961636,KUB
13,266.5522052788542,265.2901677932324,MAG
14,269.53414347279215,267.08832303330405,MAG
15,126.32857760819061,125.9790897562286,MAG
16,196.63864647747295,200.72084251096243,KUB
17,252.3024869952887,254.55068114466994,KUB
18,247.51611197674293,249.9572155303154,KUB
19,238.3040682735137,248.0291907944224,KUB
20,151.84905848039054,148.8091430625152,MAG
21,183.48538867795665,184.34604346657247,KUB
22,164.77745487161718,164.20320596545812,MAG
23,187.7300035189068,182.17164719857553,MAG
24,248.49349562074,245.02369230442244,MAG
25,,267.6187504,KUB
