Minisector,GIO,RIC,Fastest
0,314.86064667745853,312.24769650516885,GIO
1,223.5807135063403,227.99111393733511,RIC
2,135.35458538965736,139.99060014146605,RIC
3,221.9995123073441,225.35415434909137,RIC
4,265.9213130588566,263.7891964509455,GIO
5,291.6825038545855,288.42916613333335,GIO
6,308.15997566550163,305.17983521493153,GIO
7,270.6627932648111,264.7485249115767,GIO
8,169.38486950176042,174.7436793250928,RIC
9,245.3633516279494,244.976638440051,GIO
10,276.5382464112273,275.1665915707171,GIO
11,255.42645776047138,256.7547177275071,RIC
12,204.36335377684162,202.80995516634582,GIO
13,121.65690235953407,127.82095686020484,RIC
14,128.3147286781746,128.73363306580583,RIC
15,164.00094436252536,162.2222307880892,GIO
16,125.50268392582542,130.66550779750358,RIC
17,236.39410527688725,227.22567366425474,GIO
18,173.283179194523,179.18299364882242,RIC
19,166.8776862011618,171.28642771264416,RIC
20,251.1116103489762,250.82679322411968,GIO
21,280.37987511141966,277.6026940572373,GIO
22,301.20546448610344,293.31852405587057,GIO
23,318.88645773935065,303.2313120604466,GIO
24,330.05357142857144,309.3739969991832,GIO
25,333.4291669333333,,GIO
