Minisector,NOR,HAM,Fastest
0,276.3124550101325,274.4340562678475,NOR
1,302.33117917090914,305.1213667562152,HAM
2,315.4722112902564,325.63344918874077,HAM
3,321.60854340840336,341.519265228188,HAM
4,324.11314100512817,346.2648550551805,HAM
5,326.5917658920635,347.83097524395606,HAM
6,208.54504769876894,220.8613509182098,HAM
7,109.38004027250123,106.87700957574603,NOR
8,190.1771516415563,188.296162090425,NOR
9,264.2926758844919,262.05364326780955,NOR
10,290.288138690709,295.36463531137616,HAM
11,176.13006825324263,162.28903934872295,NOR
12,94.69428265705216,98.1620041501604,HAM
13,109.86987092104613,114.46721581372144,HAM
14,222.78254087341992,218.39771155169083,NOR
15,199.647706446753,188.49630094050494,NOR
16,232.1996385518679,220.85644700606062,NOR
17,191.13551153231583,179.18847012689392,NOR
18,242.5053030884726,234.71549154144623,NOR
19,278.44186871,275.9703944552381,NOR
20,252.72576887667526,243.1671637392764,NOR
21,151.76635421688889,145.08421458285716,NOR
22,100.39274798820448,99.18589137312323,NOR
23,126.52178707407336,122.75657131451659,NOR
24,221.02920803628118,220.97162143768116,NOR
25,258.1999957333333,254.73602573357545,NOR
