Minisector,RUS,HAM,Fastest
0,275.08746872242426,278.3003276530027,HAM
1,157.23213382935162,153.40514383382182,RUS
2,146.428662771811,143.9576728886516,RUS
3,221.8701581383572,224.47766894100582,HAM
4,279.3343577898137,278.3307280295731,RUS
5,276.6923917336506,277.652794531174,HAM
6,142.89118888391857,140.18624247954818,RUS
7,141.95818968374778,142.48602093958146,HAM
8,137.54710525123127,136.3795793427761,RUS
9,189.12420994589567,192.88142018224147,HAM
10,130.6212748889441,126.48224129819968,RUS
11,120.31680250191619,117.91814722184509,RUS
12,166.507054895413,172.27220917099325,HAM
13,265.0890671920773,264.4480412312534,RUS
14,282.6851242287521,282.9460886817738,HAM
15,144.9091547322121,147.62198755477812,HAM
16,206.292605223765,200.12184267055702,RUS
17,175.47718068912377,176.39932352798186,HAM
18,267.58387071410795,268.44560739483717,HAM
19,288.5144444789611,289.231009334026,HAM
20,300.775905916753,300.8903206836017,HAM
21,306.9100287985418,308.94150971273984,HAM
22,309.6641362215734,312.0717171878788,HAM
23,311.205015712364,314.0711540677879,HAM
24,309.02748205835746,309.7813824581818,HAM
25,303.8458336,,RUS
