Minisector,HAM,RIC,Fastest
0,261.7063930095161,257.47707560843605,HAM
1,216.35432116989247,222.5118689231363,RIC
2,141.0577426816193,147.83430005841618,RIC
3,230.10735023893002,241.0286661577655,RIC
4,269.33421733052717,269.91668867562663,RIC
5,179.4951715273049,178.30230835105291,HAM
6,99.80420220969494,98.20822399407898,HAM
7,136.12415267396324,134.47897963844008,HAM
8,248.21667628464013,244.37915130968491,HAM
9,163.54508503826548,160.54314796065597,HAM
10,183.91286087406635,185.38325262222222,RIC
11,253.99272339004102,252.7345558990854,HAM
12,234.16182269162562,232.20273029885058,HAM
13,251.30990791991533,245.63463275642658,HAM
14,279.12323336811596,274.94913137777775,HAM
15,264.7504620355624,266.2148346453333,RIC
16,141.32097813173547,137.20112415938672,HAM
17,232.0618028586884,231.57915788695178,HAM
18,278.93904751701865,274.7952994542396,HAM
19,290.7713767884058,286.0130836026816,HAM
20,295.06159411014494,291.42362771925553,HAM
21,300.83829363809525,296.8223084256729,HAM
22,148.51642731731155,134.55002279745727,HAM
23,84.79528129856695,82.1193231274979,HAM
24,168.27287129174152,162.64765719141226,HAM
25,241.88333226666666,,HAM
