Minisector,LEC,COL,Fastest
0,295.21675326350737,294.0166708881957,LEC
1,150.19545297068393,152.06264740489408,COL
2,143.55932409591793,155.4024362881446,COL
3,226.07829741823508,225.95150094051866,LEC
4,296.8552637312542,287.4639826841834,LEC
5,288.6821299930736,289.3266337015873,COL
6,136.63967476374083,142.68317620592376,COL
7,134.61317072281943,137.4442412362741,COL
8,129.6527112795616,135.76436974136527,COL
9,188.14316833307623,181.07744877516035,LEC
10,127.71070773463713,126.10738728696383,LEC
11,121.39485457015051,129.6807999011951,COL
12,161.66262459954652,156.88517743578646,LEC
13,269.5927317775574,266.3543337980852,LEC
14,296.68564271705685,288.55834395466667,LEC
15,143.6811839210681,146.2281228011695,COL
16,199.23648292990802,204.40024276486167,COL
17,162.7172643506451,161.3809607112461,LEC
18,272.9286515894303,265.11533703326006,LEC
19,297.49406833510477,293.60259889278166,LEC
20,314.49254404239343,309.10848661660765,LEC
21,322.44255482872256,319.29739665082707,LEC
22,328.0715635016355,325.3611319271512,LEC
23,338.8173938237909,328.20550003200003,LEC
24,341.30535807746344,326.9702845432299,LEC
25,341.0,322.96749952,LEC
