Minisector,BOT,LEC,Fastest
0,327.9732138320347,316.6199274931677,BOT
1,340.5954646058957,324.28586132491654,BOT
2,344.20439683780097,327.59473043953636,BOT
3,206.48578203346202,202.0943681114236,BOT
4,115.14234495541889,116.84228403346755,LEC
5,265.9486485235215,262.9141406853861,BOT
6,301.1152168811594,297.4846160932362,BOT
7,311.3081520231884,314.5375052189005,LEC
8,279.0475345382716,286.37733945618436,LEC
9,139.91546375384615,140.6321365865624,LEC
10,219.67139000702593,219.2880151358097,BOT
11,208.5343473927171,210.6598103489434,LEC
12,191.00683265824966,192.40156220446946,LEC
13,266.92239716684304,264.62647991936643,BOT
14,301.25424112332763,301.32839006873706,LEC
15,311.82536217971017,318.70975440629076,LEC
16,272.2109422544832,258.9331778068751,BOT
17,195.20198307724866,198.3632415304536,LEC
18,267.80642064146366,267.8823243504754,LEC
19,306.28768055652176,302.88506906666663,BOT
20,316.62826073043476,318.1930591613477,LEC
21,308.87777964444444,304.8368069333333,BOT
22,203.89858358755293,199.95769989564192,BOT
23,261.7476692575897,258.75401157530865,BOT
24,305.501999104,299.8110618557082,BOT
25,319.3833322666667,,BOT
