Minisector,GAS,KVY,Fastest
0,308.1671951601793,338.06706171951225,KVY
1,236.53392401507259,268.7070096916104,KVY
2,138.36779629854186,126.84751417046914,GAS
3,221.29338647606815,218.82916666666665,GAS
4,264.9211996349793,262.75478294581364,GAS
5,290.8878866601117,289.0152057743316,GAS
6,305.6902815445364,305.0,GAS
7,283.9615150573575,290.541238147081,KVY
8,176.27634788857736,177.413174427975,KVY
9,242.93462156182073,240.94585182567266,GAS
10,277.2153158972096,271.5865671705156,GAS
11,259.32084427434984,262.1324263802954,KVY
12,204.39516181285617,204.13717106512965,GAS
13,131.4243110420325,133.5080098008576,KVY
14,123.43054292000646,125.16634406048738,KVY
15,165.51241968012494,171.42809348685583,KVY
16,124.79093521056956,122.39316896268257,GAS
17,226.57553187766413,229.71774216604302,KVY
18,188.50863617511152,190.06596313616114,KVY
19,164.78591122085456,161.5186758689734,GAS
20,249.7618524881719,246.57066127694148,GAS
21,279.4822929093231,277.90874762570786,GAS
22,294.01124107659996,292.336864075257,GAS
23,302.12777799111115,303.0760544157587,KVY
24,305.55503363438004,308.9348475583911,KVY
25,,310.0,KVY
