Minisector,VET,ERI,Fastest
0,285.3598010659739,274.7806723764706,VET
1,311.86628182939637,302.3614578,VET
2,325.1535718095238,316.05819372976237,VET
3,332.7794646857143,323.2610119619048,VET
4,337.07559535238096,326.9661863834012,VET
5,338.00595238095235,329.2625001142857,VET
6,206.37139636363636,197.88106830933077,VET
7,106.1849518918821,105.92849997140704,VET
8,196.23198287418947,189.33442926496133,VET
9,271.1852000711111,262.4231474962963,VET
10,301.45342350476193,287.3871830653968,VET
11,174.1396712064397,161.85576947914615,VET
12,97.04070373307103,96.76511733813946,VET
13,120.61235951707624,115.49976552900175,VET
14,227.62676941041522,210.93198060606062,VET
15,189.71845712171648,175.5491039322603,VET
16,222.56540879576718,206.8754061229437,VET
17,180.5526877885342,167.6471372800978,VET
18,240.6202380952381,232.17916639999999,VET
19,287.2225564773727,276.97405611642296,VET
20,254.21338974131788,241.32850930526317,VET
21,147.75874788757199,143.81033546034826,VET
22,98.07213043848886,96.95613007698613,VET
23,125.12921684897958,122.24611519197997,VET
24,237.88730173968253,227.18713383272348,VET
