Minisector,RUS,ALB,Fastest
0,326.1882654585034,321.6347626181901,RUS
1,335.38827164444444,331.50020820444445,RUS
2,335.7666019422679,334.8788888335802,RUS
3,196.5199611364345,189.60595328189459,RUS
4,125.84563179567611,121.65487598558948,RUS
5,268.03345716043424,263.14706336620714,RUS
6,302.4793732239506,299.25399058770563,RUS
7,318.70966588322983,314.86378398836365,RUS
8,274.1154882569697,280.8659176299724,ALB
9,144.22072531110976,140.59808595310741,RUS
10,222.6552383330994,222.17690179810108,RUS
11,231.67949666717064,218.45055083008347,RUS
12,205.12401183899013,195.64289832953213,RUS
13,272.7893604264218,266.58658086969507,RUS
14,308.0604949316248,302.63406051845806,RUS
15,323.5551337447619,321.7720846641374,RUS
16,265.3340404061111,270.58355804327294,ALB
17,223.06474475752654,208.73764935417304,RUS
18,282.4557581643653,278.6309577892063,RUS
19,312.14622058251234,308.6946640389957,RUS
20,325.9541480949357,324.2389809900142,RUS
21,303.8450193220796,303.98749562628575,ALB
22,215.2597495602789,199.74935010803776,RUS
23,270.43316266125714,263.3376587003175,RUS
24,307.2864868540488,302.19229621138174,RUS
25,319.1562512,311.49000064,RUS
