Minisector,LEC,PER,Fastest
0,302.9548028386923,301.8379700522637,LEC
1,225.03191835508184,235.6408148024593,PER
2,127.66874046001972,130.23524491928143,PER
3,238.93203297689374,238.03772721214156,LEC
4,193.23913778688384,190.96880304921362,LEC
5,249.80791711828223,239.0869839826601,LEC
6,235.37643156628477,228.30097648457104,LEC
7,257.8945414873016,253.70919603617062,LEC
8,282.0596105086558,289.2568910873844,PER
9,205.5961061277339,199.39975015101692,LEC
10,206.0017588520471,204.28781621264068,LEC
11,269.26446837585456,271.7575212578566,PER
12,209.86736676758386,207.6992226333231,LEC
13,247.15024451702425,250.09547605655467,PER
14,289.8006252076855,292.68557372398266,PER
15,309.185678839074,308.1640708864548,LEC
16,313.0835357917922,310.27420510857144,LEC
17,235.21515472003625,231.7353973890478,LEC
18,265.7045684391159,270.67556566857144,PER
19,298.9780202056199,298.5317615955776,LEC
20,315.1490258891577,313.1911599081097,LEC
21,316.4160353131313,313.2967843948052,LEC
22,152.97592412248676,148.7883494768844,LEC
23,234.10530451775034,235.50502212579124,PER
24,284.49591042119323,286.6734502424381,PER
