Minisector,KVY,PER,Fastest
0,299.59440810232144,291.7931874806187,KVY
1,317.87493704661654,309.6771931508772,KVY
2,327.22753560238846,317.45424389135803,KVY
3,325.7962728421053,312.2590973910161,KVY
4,186.13104146972273,205.77056334746544,PER
5,225.7687221366967,218.76536140260274,KVY
6,273.7405806119177,265.6707819064182,KVY
7,266.3660636289855,271.57480086349204,PER
8,190.40706817851165,198.08680691039896,PER
9,152.17994325101694,164.994725343088,PER
10,190.249337932584,179.04690764444445,KVY
11,264.0865076133256,256.2660260980115,KVY
12,253.7617242282399,254.353000368254,PER
13,228.37113819524416,230.51040537600002,PER
14,269.34588705108223,271.0032937404454,PER
15,177.06963823548554,180.5929969165266,PER
16,228.5395056103963,216.65143595401193,KVY
17,254.501993778882,250.39742393357173,KVY
18,138.01722543010817,135.49192118885384,KVY
19,245.4769068153489,237.1855701099979,KVY
20,286.3679919030303,276.6118664012855,KVY
21,260.10654910807455,266.6472128428019,PER
22,146.46291647484873,149.2811503782313,PER
23,214.53120679007762,208.05894860020373,KVY
24,274.7493697934027,267.422243326498,KVY
25,289.8250016,280.91666702222227,KVY
