Minisector,LEC,SAI,Fastest
0,269.06624922245305,268.12108772483367,LEC
1,291.02873452013495,290.93812821900286,LEC
2,297.73191029826216,293.4373791857364,LEC
3,122.39676775424678,119.59126402400278,LEC
4,186.4340125929184,194.4870035315044,SAI
5,249.41509020076273,255.93540161056808,SAI
6,137.6049392542536,134.54906455771237,LEC
7,196.2908123993957,199.74842255704206,SAI
8,252.74436244798133,256.89033183800706,SAI
9,279.49741871247966,279.700047307495,SAI
10,234.01208281931503,228.0349965008291,LEC
11,173.43803823731957,173.0666018714012,LEC
12,185.28428030319728,190.5334506420038,SAI
13,141.04930766553653,141.38662890854167,SAI
14,179.45809383065418,179.4994089014474,SAI
15,158.1334428538755,157.5301449974202,LEC
16,209.55441915841405,214.97967747434618,SAI
17,232.2883141555286,228.46522014790486,LEC
18,236.78808666445698,239.02489796104155,SAI
19,243.12983267542234,234.94660764277074,LEC
20,136.33707185302836,138.26766943341656,SAI
21,133.1245887068381,132.96485402452012,LEC
22,163.06672809090077,164.93364046409445,SAI
23,148.2221306251465,147.31603279125773,LEC
24,231.23953544398483,223.2730210301651,LEC
