Minisector,HAM,HUL,Fastest
0,285.8466508243266,278.3082706003827,HAM
1,253.89136411225485,247.42857804598148,HAM
2,269.81100076286384,267.0932510201504,HAM
3,278.7740648235433,275.39798642878753,HAM
4,138.1995312408636,134.81274235190563,HAM
5,211.9516835856176,213.4320297222633,HUL
6,266.56611062332314,262.6895876266524,HAM
7,285.276731490437,281.28306876046133,HAM
8,294.3536457111111,289.01400988950735,HAM
9,299.2263020666667,292.24609373333334,HAM
10,287.0921545512954,258.8028701315321,HAM
11,105.99688812471163,99.32208878421669,HAM
12,223.45570279458127,225.844755405663,HUL
13,272.67527623609317,270.83372597127754,HAM
14,278.62773530817714,257.5559394585015,HAM
15,140.6801993035163,133.61694382151737,HAM
16,213.6488580192689,208.88635572073864,HAM
17,260.5740571079148,259.3075544141346,HAM
18,265.40900009170963,237.5976143323333,HAM
19,250.58337464665806,241.65593070229386,HAM
20,158.02206531160647,139.16102788240585,HAM
21,196.79618052377023,202.73964718182228,HUL
22,183.69722418347752,172.1184347616458,HAM
23,196.65033716629858,192.7684597772986,HAM
24,255.0273729693259,253.3345900930248,HAM
25,274.31840806158266,,HAM
