Minisector,LEC,OCO,Fastest
0,252.1915607127006,252.47135345020266,OCO
1,223.14300846522283,211.48047043291965,LEC
2,205.85257287390598,199.88015072644052,LEC
3,259.71228558130366,262.39446654729244,OCO
4,275.52915802769627,277.64689532681905,OCO
5,288.8875160418104,292.75722246252246,OCO
6,166.77250925963483,158.97439206960803,LEC
7,182.95737493084158,171.23972953488746,LEC
8,268.45979086012807,268.5678391897143,OCO
9,295.2109163503651,297.5327823296541,OCO
10,306.74138901333333,308.7201096844071,OCO
11,307.2426286298272,308.99951049297744,OCO
12,110.67169867022274,117.81531206619397,OCO
13,189.4166307267625,180.4780307534632,LEC
14,266.86867738487564,268.21823779524925,OCO
15,293.3693158157761,294.25893947927943,OCO
16,298.20980022088094,299.0774868207249,OCO
17,194.20587834312963,194.88068297042355,OCO
18,218.6293906675413,214.23433585353766,LEC
19,268.224538182861,267.8506338849035,LEC
20,156.33472510206363,161.0612036717644,OCO
21,149.5756103638662,137.88970232254877,LEC
22,217.88976959619288,203.0452413558308,LEC
23,240.09740788914198,246.1515370767911,OCO
24,161.14992080781548,150.2051624236801,LEC
25,225.28571062857142,223.35714285714286,LEC
