Minisector,PIA,TSU,Fastest
0,249.05210212539683,249.45692882362303,TSU
1,286.07987560495246,284.7479092099048,PIA
2,172.26597843267584,179.2825028443224,TSU
3,159.0583475941875,159.79065162849503,TSU
4,258.1820506824909,256.0692460319414,PIA
5,273.57730618981105,268.2868110715509,PIA
6,251.24186411933496,233.97351907849622,PIA
7,209.3855839180508,204.8984559717983,PIA
8,160.8030130784997,162.845806772047,TSU
9,220.64123851894786,217.86243030016422,PIA
10,273.84746575805787,270.2266684137009,PIA
11,129.56131162778087,135.55955436565682,TSU
12,215.25772801327562,209.49219061534862,PIA
13,276.36573828455795,276.3727231462434,TSU
14,296.1001558961039,295.528412888658,PIA
15,304.3211273820609,304.9730324177778,TSU
16,246.4809711335421,235.04651390093835,PIA
17,124.25965991674235,128.16769787273992,TSU
18,126.97649529513863,124.26710034361354,PIA
19,110.67926834993608,120.24561936611595,TSU
20,226.68748149903175,225.83463740145882,PIA
21,261.9014129388152,258.30320817633196,PIA
22,248.81449734836124,239.81754684603172,PIA
23,217.44062142909883,216.67018143835787,PIA
24,137.9132119540553,134.4551705593004,PIA
