Minisector,HAM,VET,Fastest
0,250.89174637714285,263.3618000555664,VET
1,140.301917269394,137.7437686230492,HAM
2,265.7187508571429,269.7214565591658,VET
3,306.02397899701856,311.94790381449275,VET
4,303.89666653866664,310.69565973333334,VET
5,310.5034852396393,319.2037202603174,VET
6,314.78858508888885,324.8216189504817,VET
7,313.9138814480082,324.9069199038638,VET
8,212.12212197248675,207.35600454932361,HAM
9,203.5824688170887,194.4208238715452,HAM
10,194.1756720221916,191.60331259205512,HAM
11,170.68979666141087,165.58843211615186,HAM
12,248.8695844977778,256.31805589333334,VET
13,276.4332671362556,278.25617287901235,VET
14,280.6059635942301,283.1755648781441,VET
15,279.7125970621177,288.43808672429793,VET
16,192.53914389478612,184.55220620429975,HAM
17,198.9563800368243,194.14899130385965,HAM
18,241.9753453171886,242.8596041311755,VET
19,287.043927678423,289.6530296146291,VET
20,306.05430487159106,313.4802518285714,VET
21,314.2579709217391,322.23280123059163,VET
22,312.1610188398608,321.3742388869092,VET
23,261.97924918752057,267.9724614150824,VET
24,118.83169423063886,116.22946276475056,HAM
25,230.25,,HAM
