Minisector,BOT,NOR,Fastest
0,295.1484610318559,301.10916598897967,NOR
1,305.5606515328321,320.6419484150376,NOR
2,310.34765022892225,328.98250537724783,NOR
3,310.77258773333335,325.01480081676203,NOR
4,211.49549333383248,198.29072389785472,BOT
5,229.60329205489566,224.94657465197236,BOT
6,273.69504044535705,271.1571232193404,BOT
7,281.28709659399584,269.4306897252304,BOT
8,199.37137114838708,193.25011518525346,BOT
9,161.20868614150945,155.89816897405473,BOT
10,194.61817808631315,186.25656722331078,BOT
11,266.00925647026065,263.3299683710145,BOT
12,260.7577906285714,252.80533422933334,BOT
13,237.92212163444353,231.97980183033394,BOT
14,279.0037876363636,275.7825755636364,BOT
15,185.98270672555935,177.05228825496005,BOT
16,228.28564732839507,219.06889786666667,BOT
17,249.7561639100539,243.11831770151767,BOT
18,143.10077933837928,134.79733477026167,BOT
19,247.8044889198157,243.58250139770556,BOT
20,285.3550862822511,284.99668338503403,BOT
21,258.94321277518713,259.6069061158997,NOR
22,153.34130679197727,142.36284102603543,BOT
23,221.4375908549671,204.11762726023645,BOT
24,277.22865217662337,271.4640782509317,BOT
25,289.52916693333333,287.4375008,BOT
