Minisector,RAI,GIO,Fastest
0,327.1565733116949,314.86064667745853,RAI
1,225.13508566936534,223.5807135063403,RAI
2,130.93833792289976,135.35458538965736,GIO
3,221.0607316474277,221.9995123073441,GIO
4,265.84619328164945,265.9213130588566,GIO
5,297.3308627696749,291.6825038545855,RAI
6,318.82876862316226,307.2682692923077,RAI
7,276.8146889711096,281.54020547565705,GIO
8,166.214400694095,166.559617754912,GIO
9,241.21644755087718,241.72701646515446,GIO
10,275.6758429298261,275.8741295053091,GIO
11,260.9537729083216,260.0567098613117,RAI
12,204.04970972161323,203.86876503225287,RAI
13,125.1846751342852,124.61159341429627,RAI
14,123.94956658677084,124.78947615292206,GIO
15,163.0820101812421,169.23370298321504,GIO
16,121.87363151546364,121.83756118634071,RAI
17,231.57772808776204,233.7112141205166,GIO
18,176.61885939669517,183.53250019675153,GIO
19,164.32394896135122,159.14535147250737,RAI
20,249.3042778741994,248.95810157704636,RAI
21,277.80041093605297,278.2715878634133,GIO
22,295.99580674833777,299.0678844451917,GIO
23,312.0668498426288,317.9284220060173,GIO
24,323.02867727800464,329.2432692512821,GIO
25,,333.1430556444445,GIO
