Minisector,BOT,RAI,Fastest
0,301.85911426666667,288.7345348011093,BOT
1,303.39831106091253,291.2071247091154,BOT
2,160.62720950673244,157.29858570489893,BOT
3,228.10379166954093,227.26626804789015,BOT
4,275.8719894530141,273.42578832673956,BOT
5,294.6372398400436,292.73939270747366,BOT
6,298.3892025785028,296.9057706026388,BOT
7,151.51725275100912,157.1278026231429,RAI
8,140.9494666738894,140.29674531621,BOT
9,252.34709222539166,250.6214811336789,BOT
10,283.5175546427318,282.69932324571346,BOT
11,289.6166844998558,293.6979166666667,RAI
12,146.25718861048267,149.19857131294617,RAI
13,200.6652661421422,196.45038237826074,BOT
14,255.68079971667612,255.6132077351212,BOT
15,200.75456666950242,196.03644933220244,BOT
16,220.15393894936406,216.62123088768863,BOT
17,211.94381530936525,206.15950607403312,BOT
18,245.63948964496663,243.91865354056617,BOT
19,276.9048296252289,274.64440063621754,BOT
20,289.73619253663696,290.4170992277373,RAI
21,253.54970430609805,257.9600672655084,RAI
22,219.74890422992905,224.34625148661056,RAI
23,210.9448174925111,202.29075393106163,BOT
24,265.66520122358196,260.76699781971604,BOT
25,,279.3833333333333,RAI
