Minisector,HAD,COL,Fastest
0,248.73335719963148,256.73572172280257,COL
1,132.27060958148428,138.84674300541533,COL
2,280.6296650102682,276.4291351777366,HAD
3,320.9282027402791,310.8788863458409,HAD
4,298.6464783551323,293.7665360535129,HAD
5,318.4849835409636,314.3546457054027,HAD
6,321.9217128237037,314.1394449378656,HAD
7,314.22944759590246,308.2816403143803,HAD
8,194.0335348222233,183.643451410899,HAD
9,194.53460128634921,189.9329486829977,HAD
10,182.2964768218912,168.79485171750903,HAD
11,164.9805707275193,168.27829141715446,COL
12,241.9699341407782,243.7963472292968,COL
13,260.8894707564221,261.59066698463494,COL
14,272.3772385205592,259.60977406710066,HAD
15,258.19265438499997,243.24447924375164,HAD
16,166.97629944332064,168.94686417540063,COL
17,183.82023674033087,185.61435830511635,COL
18,248.01831069949074,246.9122227366188,HAD
19,302.76727448416966,298.38899398667036,HAD
20,322.74351951595105,314.93867784200677,HAD
21,312.79756924814814,294.22014027533146,HAD
22,300.54963798619457,279.59250031418446,HAD
23,243.73886019800253,229.82088819023758,HAD
24,118.06606628452542,122.21239196050585,COL
25,219.34499712,,HAD
