Minisector,RUS,HUL,Fastest
0,290.0980101213033,298.76208661333334,HUL
1,298.598423032381,298.62466792777576,HUL
2,162.68817001018962,145.58892592802866,RUS
3,221.43081765003177,222.93643777601434,HUL
4,273.3467633351111,280.45586180190475,HUL
5,293.6497708820915,307.73229200000003,HUL
6,303.93761554225955,319.3014717501141,HUL
7,176.11480982058336,136.78333170132157,RUS
8,132.41671904963778,135.3075003958913,HUL
9,251.42815429818182,254.2451224088889,HUL
10,285.41531201600003,293.88110460340226,HUL
11,293.3050320097959,300.6116388006015,HUL
12,137.61528524796964,132.1782281667823,RUS
13,196.39473028955106,196.0670469461157,RUS
14,257.4719637622857,256.01072392260653,RUS
15,194.32061890302714,196.38064210414112,HUL
16,219.16386588433207,215.894589395671,RUS
17,208.602808745679,205.9166916704961,RUS
18,241.2745296013877,243.93460703703704,HUL
19,273.72134330039216,277.166733308642,HUL
20,291.341975826704,290.3608527338272,RUS
21,260.89736296755905,247.1409965511111,RUS
22,212.52603309638724,216.0408756291209,HUL
23,195.59685884639805,204.2368621553778,HUL
24,263.36015766603174,264.1707048298175,HUL
