Minisector,HAM,TSU,Fastest
0,258.8193100741501,254.01202240815462,HAM
1,133.9223883190857,134.89304473936508,TSU
2,202.61908425023344,201.41626872898922,HAM
3,248.66071684832136,244.92215160090703,HAM
4,259.7309927292517,256.3753447253333,HAM
5,179.23343691809524,179.54631660003798,TSU
6,147.0212017652355,149.6344956289293,TSU
7,190.2306021611594,193.22740739047617,TSU
8,101.18361970883039,104.70949940991747,TSU
9,75.32594285675233,74.65098018307171,HAM
10,97.95139845149352,98.10999095853248,TSU
11,189.72326691887056,181.59009404349376,HAM
12,251.06795807392606,240.90974203271574,HAM
13,272.21246072250966,263.8061527211646,HAM
14,282.5247746361905,275.6762470791177,HAM
15,115.11712547213189,107.54046106903809,HAM
16,152.86490896315462,150.95905072833182,HAM
17,188.52797509587302,180.54205741155556,HAM
18,204.6783837183063,199.35298289763065,HAM
19,219.49275060201222,211.01617048,HAM
20,136.40413954878306,142.57533685719366,TSU
21,112.2814204121817,104.3904742636041,HAM
22,101.54572690903429,97.92984919955735,HAM
23,198.71575752842713,197.07636297599998,HAM
24,251.43530652012927,247.29048627257464,HAM
25,267.6714276571429,260.838710861371,HAM
