Minisector,RIC,GAS,Fastest
0,283.5507011226891,281.5261190722689,RIC
1,124.79870251004914,122.373888161434,RIC
2,154.60491111632217,159.74529465477474,GAS
3,211.26539826086955,208.11331198429508,RIC
4,165.65205815870536,158.3859216190444,RIC
5,245.2201393185185,240.8568425237423,RIC
6,218.91497187138017,210.62973410909092,RIC
7,132.98210595775964,136.51492722496988,GAS
8,226.73770821333332,232.46842161403507,GAS
9,274.5620043174603,274.8908214998788,GAS
10,278.87270643790987,284.5648434,GAS
11,148.28957351029186,146.2136963476652,RIC
12,217.33159202016412,218.54708405333332,GAS
13,271.4972907381294,269.0646500910053,RIC
14,261.41001857354496,254.64824465964912,RIC
15,97.0414655512244,99.51934263776809,GAS
16,213.33901078257023,225.29843830095237,GAS
17,266.90648183703706,271.3082021175271,GAS
18,293.17284243809524,290.44429427729006,RIC
19,303.38603868866045,299.9408334222222,RIC
20,308.5824224780682,304.42552093333336,RIC
21,283.6148424,272.0131436499743,RIC
22,153.4287478995078,152.23857746746785,RIC
23,234.19210560000002,235.60312624,GAS
24,275.71185099771367,275.17156912941175,RIC
25,287.20416746666666,,RIC
