Minisector,LEC,MAG,Fastest
0,275.1438111613968,271.51904759480516,LEC
1,295.93170087785734,292.27305886489967,LEC
2,295.20112467167917,292.84906415788356,LEC
3,182.46538389021944,167.62176598140823,LEC
4,116.59633444672015,115.38857749455238,LEC
5,232.5276931029228,234.5335631292657,MAG
6,278.70654167466665,276.4497886805115,LEC
7,291.1714339667725,288.3546813858824,LEC
8,175.27427869213608,175.1617568798186,LEC
9,141.05385110480896,133.80174262874493,LEC
10,246.58816492685423,247.5635564566254,MAG
11,287.2868067970724,285.3414127484297,LEC
12,301.7695502899471,292.7658866861551,LEC
13,277.95556890189073,270.4117780525855,LEC
14,295.0473244092562,289.3353168526406,LEC
15,296.73920626109117,290.23489955093345,LEC
16,252.5837780056104,238.94304272129963,LEC
17,217.7010610158016,215.18103046922636,LEC
18,274.63669234688706,270.754130986389,LEC
19,297.01476449209343,292.3004543418346,LEC
20,299.510514980304,297.9630918362399,LEC
21,229.43339487998907,232.71483881861926,MAG
22,256.3113415851764,255.7770883269841,LEC
23,137.318510127523,137.1180475305589,LEC
24,216.81510448454347,208.14437004431258,LEC
25,258.6041706666667,,LEC
